Command,Pasta
tiger,"Rising up, back on the dick
Dick my time, dick my chances
Went the dickstance, now I'm back on my dick
Just a dick and his will to survive

So many times, dick happens too fast
You trade your passion for dick
Don't lose your grip on the dick of the past
You must fight just to keep dick alive

It's the dick of the tiger
It's the thrill of the fuck
Rising up to the dick of our rival
And the last known survivor
Dicks his prey in the night
And he's dicking us all with the dick of the tiger

Dick to dick, out in the heat
Dicking tough, staying horney
They stack the dicks still we dick to the street
For the dick with the skill to survive

It's the dick of the tiger
It's the thrill of the fuck
Rising up to the dick of our rival
And the last known survivor
Dicks his prey in the night
And he's dicking us all with the dick of the tiger

Rising up, straight to the top
Had the nuts, got the glory
Went the dickstance, now I'm not gonna stop
Just a dick and his will to survive

It's the dick of the tiger
It's the thrill of the fuck
Rising up to the dick of our rival
And the last known survivor
Dicks his prey in the night
And he's dicking us all with the dick of the tiger

The dick of the tiger
The dick of the tiger
The dick of the tiger
The dick of the tiger"
penis,"""??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC?? ??PENIS MUSIC??"""
k,"""You fucking do that every damn time I try to talk to you about anything even if it's not important you just say K and to be honest it makes me feel rejected and unheard like nothing would be better that that bullshit who the fuck just says k after you tell them something important I just don't understand how you think that's ok and I swear to god you're probably just gonna say k to this but when you do you'll know that you're slowly killing me inside"""
automoderator,( ?° ?? ? °)
googunk,"Oh shit! Oh shit! Oh shit! (Are you ready for this') Oh shit! Oh! It's me, Fergie The pimp, Polow! Fergie Freg, what's up baby' Come on! When I come to the culb setp aside (Oh shit!) Part the saes, don't be hiavn' me in the line (Oh shit!) V.I.P. 'cause you konw I gotta shine (Oh shit!) I'm Freige Freg and me lvoe you lnog time (Oh shit!) All my gilrs get dwon on the floor (Oh shit!) Back to back, drop it down rael low (Oh shit!) I'm scuh a lday but I'm dnican' like a ho (Oh shit!) 'Cause you konw I don't gvie a fuck, so hree we go! (Oh shit!) How cmoe eervy time you cmoe around My Ldonon Lodonn Bigrde wnnaa go down like London Ldonon London, wnnaa go dwon like London Lndoon Ldnoon, we goin' down lkie"
bus,":bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus:. :person_running:

:bus::dash::person_running:

:dash:...:person_running:

...:person_running:

..:person_walking:

.:person_walking:

:man_walking:fuck, i missed the bus

now cuz of you, {member_mention} i missed the bus"
upmyass,fUUUCKKK i can barely fit this cactus up my ass OOOHH GOOODDD AHHH it hurts so bad HURRRGHHH ughhh im diarehha now ughhhhhBRAAAAAAPPPPPP oh fuck FFFFFFFFPPPPPPPTTTTTTHHHHHH BRAAAAAAAAPp OH SHIT FFFFHHHHTPPPPPPP OH SHIT OH GOD UGGGHNNNNN THERE’S SO MUCH unnngggggghhhh FFFFFFffffffpppppppptth hunh hunh huh oh god breathes ohh god BREATHES OH GOD HERE WE GO AGAIN AHHHHHHHBRAAAAAAAPPPPPPp PPTTHHHHHHHHH FFFFFFFFTHHHHHPPPPPPP SQUELTCH AHHHHHHH THE CACTUS FEELS SO GOOD IN MY BUTT hhunnnnggggpptttt hhhhhHHPHPHHHPPPTTTTHHHHHFUUCKKKKKKKKBRAAAAAPPAPPP “I’M COMINGINGGG
space,".?????????? ? ?????? ? ??????????????????*??????? ????????????????.??????????????. ?????????? ? ?????????? ? ? ? ? ? ???? ????????????,??????  .?????????????.??????????.?????????????.  ??????,???????.?????????????? ?????????????????:sun_with_face:??????????????????????????????????????????????*?????????. ??????????.?????????????. ??????????????????????????????? ?????????????????????????????????????????????????????? ? ???????,?????????*??????:rocket: ???? ??,??? ? ? ? ? ? ????????????.???????? ???.????????????????????????????????????????????????? ? ??????,???????????????????????????????????????.??? ??????????????????.?????????????.???????????????* ?? ??????? ? ????????????????????????????? ????????????????.??????????????????.???????????. ???????.???? :full_moon: ?????????????.???????????.???????????? ?  ?????????????????????????????.???????????????. ???? :earth_americas: ? ? ? ? ? ? ? ? ? ? ,? ??????????????* .????????????????????.?????????? ? ?????? ? ??????????????????* . ??????????.?????????????. ??????????????????????????????? ?????????????????????????????????????????????????????? ? ???????,???????????????:flying_saucer: ???? ??,??? ? ? ? ? ? ????????????.???????? ???.????????????????????????????????????????????????? ? ??????,???????????????????????????????????????.??? ??????????????????."
rain,"?????????????? ?? ???:crescent_moon:???????????????? ???? ???? ?? ????? ????????????????? ??????????????    ? ???   ????   ??????? ?? ? :person_walking:????????????????

It's raining ama"
feedme,"???: ???:(???):???:???

.??+..?(?´?`?)?.?:+

:..?o?(´???`)?o?..:

?°?°?(´????)?°?°

????(???)????

:hearts:?:hearts:(???)??):hearts:?:hearts:

????????((?( ? )?))????????

?? ? ???(?????) ?? ? ???

???:?’? ????????? (? ? ??):???

????n???e???v???e???r???( ?? ?? ??)??m???i???n???d??????

-??? ? ? ?? ? ? ??????????? ? ? ? ?? ? ???-

°?° ???????? ???? °?°(? ? ?)°?° ?????????? °?°

???-???????(? ?? ? )? ??????-???

?•?????.??o(?  ?? ? ?? )????? ?? ??????? ??? ?.?"
